rank,name,com_domain,com_status,se_domain,se_status,score,length,bolagsverket_url,tmview_url,checked_at_utc,notes
1,Lucidfolk,lucidfolk.com,available,lucidfolk.se,available,104.4,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Lucidfolk,2026-07-30T13:12:53+00:00,.com verkar ledig; .se verkar ledig
12,Kindline,kindline.com,registered,kindline.se,available,-50.9,8,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Kindline,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
13,Kindwise,kindwise.com,registered,kindwise.se,available,-50.9,8,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Kindwise,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
14,Truewise,truewise.com,registered,truewise.se,available,-50.9,8,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Truewise,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
15,Goodwise,goodwise.com,registered,goodwise.se,available,-50.9,8,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Goodwise,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
16,Quietly,quietly.com,registered,quietly.se,available,-51.4,7,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Quietly,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
17,Kindform,kindform.com,registered,kindform.se,available,-53.0,8,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Kindform,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
18,Kindpath,kindpath.com,registered,kindpath.se,available,-53.0,8,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Kindpath,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
19,Kindwork,kindwork.com,registered,kindwork.se,available,-53.0,8,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Kindwork,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
20,Kindfolk,kindfolk.com,registered,kindfolk.se,available,-53.0,8,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Kindfolk,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
21,Truework,truework.com,registered,truework.se,available,-53.0,8,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Truework,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
22,Truefolk,truefolk.com,registered,truefolk.se,available,-53.0,8,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Truefolk,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
23,Goodform,goodform.com,registered,goodform.se,available,-53.0,8,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Goodform,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
24,Goodpath,goodpath.com,registered,goodpath.se,available,-53.0,8,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Goodpath,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
25,Goodfolk,goodfolk.com,registered,goodfolk.se,available,-53.0,8,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Goodfolk,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
26,Openline,openline.com,registered,openline.se,available,-53.7,8,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Openline,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
27,Openwise,openwise.com,registered,openwise.se,available,-53.7,8,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Openwise,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
28,Openform,openform.com,registered,openform.se,available,-53.9,8,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Openform,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
29,Openfolk,openfolk.com,registered,openfolk.se,available,-53.9,8,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Openfolk,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
30,Frameable,frameable.com,registered,frameable.se,available,-55.1,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Frameable,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
31,Clearwise,clearwise.com,registered,clearwise.se,available,-55.1,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Clearwise,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
32,Kindframe,kindframe.com,registered,kindframe.se,available,-55.1,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Kindframe,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
33,Kindstory,kindstory.com,registered,kindstory.se,available,-55.1,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Kindstory,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
34,Trueframe,trueframe.com,registered,trueframe.se,available,-55.1,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Trueframe,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
35,Goodframe,goodframe.com,registered,goodframe.se,available,-55.1,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Goodframe,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
36,Plainline,plainline.com,registered,plainline.se,available,-55.1,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Plainline,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
37,Plainwise,plainwise.com,registered,plainwise.se,available,-55.1,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Plainwise,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
38,Formhouse,formhouse.com,registered,formhouse.se,available,-55.1,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Formhouse,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
39,Kindhouse,kindhouse.com,registered,kindhouse.se,available,-55.1,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Kindhouse,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
40,Resonant,resonant.com,registered,resonant.se,available,-56.7,8,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Resonant,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
41,Openframe,openframe.com,registered,openframe.se,available,-57.6,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Openframe,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
42,Openfield,openfield.com,registered,openfield.se,available,-58.1,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Openfield,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
43,Humanline,humanline.com,registered,humanline.se,available,-60.1,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Humanline,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
44,Lucidline,lucidline.com,registered,lucidline.se,available,-60.1,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Lucidline,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
45,Lucidwise,lucidwise.com,registered,lucidwise.se,available,-60.1,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Lucidwise,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
46,Vividline,vividline.com,registered,vividline.se,available,-60.1,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Vividline,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
47,Vividwise,vividwise.com,registered,vividwise.se,available,-60.1,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Vividwise,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
48,Clearwork,clearwork.com,registered,clearwork.se,available,-60.4,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Clearwork,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
49,Clearfolk,clearfolk.com,registered,clearfolk.se,available,-60.4,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Clearfolk,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
50,Kindfield,kindfield.com,registered,kindfield.se,available,-60.4,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Kindfield,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
51,Truefield,truefield.com,registered,truefield.se,available,-60.4,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Truefield,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
52,Goodfield,goodfield.com,registered,goodfield.se,available,-60.4,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Goodfield,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
53,Plainform,plainform.com,registered,plainform.se,available,-60.4,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Plainform,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
54,Plainpath,plainpath.com,registered,plainpath.se,available,-60.4,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Plainpath,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
55,Plainwork,plainwork.com,registered,plainwork.se,available,-60.4,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Plainwork,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
56,Plainfolk,plainfolk.com,registered,plainfolk.se,available,-60.4,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Plainfolk,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
57,Kindcraft,kindcraft.com,registered,kindcraft.se,available,-60.4,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Kindcraft,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
58,Truecraft,truecraft.com,registered,truecraft.se,available,-60.4,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Truecraft,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
59,Humanform,humanform.com,registered,humanform.se,available,-60.6,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Humanform,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
60,Humanpath,humanpath.com,registered,humanpath.se,available,-60.6,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Humanpath,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
61,Humanwork,humanwork.com,registered,humanwork.se,available,-60.6,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Humanwork,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
62,Humanfolk,humanfolk.com,registered,humanfolk.se,available,-60.6,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Humanfolk,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
63,Lucidform,lucidform.com,registered,lucidform.se,available,-60.6,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Lucidform,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
64,Lucidpath,lucidpath.com,registered,lucidpath.se,available,-60.6,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Lucidpath,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
65,Lucidwork,lucidwork.com,registered,lucidwork.se,available,-60.6,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Lucidwork,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
66,Vividform,vividform.com,registered,vividform.se,available,-60.6,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Vividform,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
67,Vividpath,vividpath.com,registered,vividpath.se,available,-60.6,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Vividpath,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
68,Vividwork,vividwork.com,registered,vividwork.se,available,-60.6,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Vividwork,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
69,Vividfolk,vividfolk.com,registered,vividfolk.se,available,-60.6,9,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Vividfolk,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
70,Clearframe,clearframe.com,registered,clearframe.se,available,-62.3,10,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Clearframe,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
71,Plainstory,plainstory.com,registered,plainstory.se,available,-62.3,10,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Plainstory,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
72,Clearhouse,clearhouse.com,registered,clearhouse.se,available,-62.3,10,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Clearhouse,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
73,Signalframe,signalframe.com,registered,signalframe.se,available,-62.6,11,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Signalframe,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
74,Signalstory,signalstory.com,registered,signalstory.se,available,-62.6,11,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Signalstory,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
75,Signalhouse,signalhouse.com,registered,signalhouse.se,available,-62.6,11,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Signalhouse,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
76,Humanframe,humanframe.com,registered,humanframe.se,available,-64.2,10,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Humanframe,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
77,Humanstory,humanstory.com,registered,humanstory.se,available,-64.2,10,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Humanstory,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
78,Signalline,signalline.com,registered,signalline.se,available,-64.2,10,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Signalline,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
79,Signalwise,signalwise.com,registered,signalwise.se,available,-64.2,10,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Signalwise,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
80,Relayhouse,relayhouse.com,registered,relayhouse.se,available,-64.2,10,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Relayhouse,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
81,Storyhouse,storyhouse.com,registered,storyhouse.se,available,-64.2,10,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Storyhouse,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
82,Humanhouse,humanhouse.com,registered,humanhouse.se,available,-64.2,10,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Humanhouse,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
83,Lucidframe,lucidframe.com,registered,lucidframe.se,available,-64.2,10,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Lucidframe,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
84,Lucidstory,lucidstory.com,registered,lucidstory.se,available,-64.2,10,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Lucidstory,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
85,Vividframe,vividframe.com,registered,vividframe.se,available,-64.2,10,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Vividframe,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
86,Vividstory,vividstory.com,registered,vividstory.se,available,-64.2,10,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Vividstory,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
87,Clearsignal,clearsignal.com,registered,clearsignal.se,available,-64.4,11,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Clearsignal,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
88,Plainsignal,plainsignal.com,registered,plainsignal.se,available,-64.4,11,https://foretagsinfo.bolagsverket.se/sok-foretagsinformation-web/foretag,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&basicSearch=Plainsignal,2026-07-30T13:12:53+00:00,.com registrerad; .se verkar ledig
